Word	Category	WordClass	TranslationEng	SearchTermsEng	StatusEng	TranslationEpo	TranslationSpa	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	LexiliEstatus	TranslationFra	TranslationRus	TranslationZho
a	root	il	_**interj**_ ah (_denotes surprise or wonder_)		reviewed	ha	ah	_**Interj**_ ah (_Ausdruck der Überraschung oder der Verwunderung_)					Putunhwa (啊 “a”), Englisa (ah), Doycisa (ah), Espanisa (ah), Rusisa (ах “akh”, a “a”)	leferesmi	ah	а	啊
abakus	root	n	_**n**_ abacus			abako	ábaco						Englisa (abacus), Espanisa (abaco), Fransesa (abaque), Russia (абак “abak”), Doycisa (Abakus), Indonesisa (abakus), Pilipinasa (abako), Telugusa (అబాకస్ “abakas”), Turkisa (abaküs)				
abil	root	t; f.sah	_**adj/adv**_  able, capable, capably ; _**v.aux**_ be able, can		reviewed	pova, kapabla; povi, kapabli	capaz; poder	können, vermögen			Kam yu abil na suyon?		Englisa (able), Espanisa (hábil, habilidad), Fransesa (-able, habileté), Turkisa (-abil), Italisa (abile), Pilipinasa (abilidad), Rumanisa (abil)	leferesmi	pouvoir	мочь	識得
abone	root		subscription; subscribe			abono; aboni	abono, suscripción; abonarse, suscribirse						Espanisa (abono), Fransesa (abonnement; abonner; abonné), Rusisa (абонемент "abonement"), Doycisa (Abonnement), Indonesisa (abonemen; abone), Turkisa (abonelik, abonman, abone), Parsisa (آبونمان "âbonmân")				
abruto	root	t	_**adj/adv**_ abrupt, abruptly, sudden, suddenly, all of a sudden		reviewed	abrupta, subita; abrupte, subite	abrupto, repentino	plötzlich, auf einmal, jäh					Englisa (abrupt), Fransesa (abrupt), Doycisa (abrupt), Espanisa (abrupto)	leferesmi	soudainement	вдруг	突然
absorbi	root	n/f.oj	absorption; absorb			sorbo, absorbo; sorbi, absorbi	absorción; absorber						Englisa (absorption, absorbing; absorb), Espanisa (absorción; absorber), Fransesa (absorption; absorber), Rusisa (абсорбция “absorbtsya”), Doycisa (Absorption; absorbieren), Portugalsa (absorção; absorver), Italisa (assorbimento; assorbire), Indonesisa (absorpsi), Pilipinasa (absorpsiyon), Turkisa (absorpsiyon)				
abyasa	root	n/f.oro.a	_**n**_  rehearsal, practice; _**v.ambi.a**_ practice, rehearse		reviewed	ekzerco; ekzerci	ensayo; ensayar	_**Subst**_ Übung, Probe; _**Verb trans**_ üben, proben					Hindisa (अभ्यास “abyas”), Karnatakasa (ಅಭ್ಯಾಸ “abyāsa”)	leferesmi			
acidi	root	n	_**n**_ acid			acido	ácido						Englisa (acid, acidic), Espanisa (ácido), Fransesa (acide), Italisa (acido, acidi), Pilipinasa (asido), Turkisa (asit), Parsisa  (اسید “asid”), Swahilisa (asidi)				
acum	root	n/f.oro.a	_**n**_  sneeze; _**v.ambi.a**_ sneeze		reviewed	terno; terni	estornudo; estornudar	_**Subst**_ Nieser; _**Verb intr**_ niesen			Luminpul sola acumgi te.		kwasilexi - Arabisa ( ), Doycisa, Englisa (achoo), Hindisa, Hangusa, Parsisa, Espanisa, Turkisa, Tamilsa, ji maxya	leferesmi			
adabu	root	n	_**n**_ politeness			ĝentileco	cortesía						Arabisa (أدب “adab”), Parsisa (ادب “adab”), Indonesisa (keadaban, beradab), Turkisa (edep)				
