Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,StatusEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,LexiliEstatus,TranslationFra,TranslationRus,TranslationZho
a,root,il,TRUE,ah (_denotes surprise or wonder_),,reviewed,ha,ah,ah (_Ausdruck der Überraschung oder der Verwunderung_),,,,,"Putunhwa (啊 “a”), Englisa (ah), Doycisa (ah), Espanisa (ah), Rusisa (ах “akh”, a “a”)",leferesmi,ah,а,啊
abakus,root,n,TRUE,abacus,,,abako,ábaco,,,,,tul,"Englisa (abacus), Espanisa (abaco), Fransesa (abaque), Rusisa (абак “abak”), Doycisa (Abakus), Indonesisa (abakus), Pilipinasa (abako), Telugusa (అబాకస్ “abakas”), Turkisa (abaküs)",,,,
abil,root,t; f.sah,TRUE,"able, capable, capably ; be able, can",,reviewed,"pova, kapabla; povi, kapabli",capaz; poder,"können, vermögen",,,Kam yu abil na suyon?,,"Englisa (able), Espanisa (hábil, habilidad), Fransesa (-able, habileté), Turkisa (-abil), Italisa (abile), Pilipinasa (abilidad), Rumanisa (abil)",leferesmi,pouvoir,мочь,識得
abone,root,n/f.oj,TRUE,subscription; subscribe,,,abono; aboni,"suscripción, abono; suscribirse, abonarse",,,,,,"Espanisa (abono), Fransesa (abonnement; abonner; abonné), Rusisa (абонемент ""abonement""), Doycisa (Abonnement), Indonesisa (abonemen; abone), Turkisa (abonelik, abonman, abone), Parsisa (آبونمان ""âbonmân"")",,,,
abruto,root,t,TRUE,"abrupt, abruptly, sudden, suddenly, all of a sudden",,reviewed,"abrupta, subita; abrupte, subite","abrupto, repentino; abruptamente, repentinamente","plötzlich, auf einmal, jäh",,,,,"Englisa (abrupt), Fransesa (abrupt), Doycisa (abrupt), Espanisa (abrupto)",leferesmi,soudainement,вдруг,突然
absorbi,root,n/f.oj,TRUE,absorption; absorb,,,"sorbo, absorbo; sorbi, absorbi",absorción; absorber,,,,,,"Englisa (absorption, absorbing; absorb), Espanisa (absorción; absorber), Fransesa (absorption; absorber), Rusisa (абсорбция “absorbtsya”), Doycisa (Absorption; absorbieren), Portugalsa (absorção; absorver), Italisa (assorbimento; assorbire), Indonesisa (absorpsi), Pilipinasa (absorpsiyon), Turkisa (absorpsiyon)",,,,
abyasa,root,n/f.oro.a,TRUE,"rehearsal, practice; practice, rehearse",,reviewed,ekzerco; ekzerci,ensayo; ensayar,"Übung, Probe; üben, proben",,,,,"Hindisa (अभ्यास “abyas”), Karnatakasa (ಅಭ್ಯಾಸ “abyāsa”)",leferesmi,,,
acidi,root,n,TRUE,acid,,,acido,ácido,,,,,,"Englisa (acid, acidic), Espanisa (ácido), Fransesa (acide), Italisa (acido, acidi), Pilipinasa (asido), Turkisa (asit), Parsisa  (اسید “asid”), Swahilisa (asidi)",,,,
acum,root,n/f.oro.a,TRUE,sneeze; sneeze,,reviewed,terno; terni,estornudo; estornudar,Nieser; niesen,,,Luminpul sola acumgi te.,,"kwasilexi - Arabisa ( ), Doycisa, Englisa (achoo), Hindisa, Hangusa, Parsisa, Espanisa, Turkisa, Tamilsa, ji maxya",leferesmi,,,
adabu,root,n,TRUE,politeness,,,ĝentileco,cortesía,,,,,,"Arabisa (أدب “adab”), Parsisa (ادب “adab”), Indonesisa (keadaban, beradab), Turkisa (edep)",,,,
