Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,TranslationFra,TranslationRus,TranslationZho
-abil,affix,t xfik,TRUE,"which can (be), -able, -ible",,"-pova/e, -kapabla/e","que (se) puede, -able,-ible","fähig, in der Lage, -fähig, -tauglich",,,,,Am oko _abil_.,,,
-bimar,affix,t xfik,TRUE,sick,,-malsana,enfermo,,,,,,Am oko _bimar_.,,,
-bol,affix,n xfik,TRUE,ball,,"-pilko, sfero","pelota, juego de pelota",Ball,,,,,Am oko _bol_.,,,
-cu,affix,n/f.nenoj xfik,TRUE,"_intransitive verb marker_, become, get, turn (into)",,"-iĝo, -iĝi, _markilo de netransativa verbo_","_marcador de verbo intransitivo_, llegar a ser","_markiert intransitive Verben_, (jmd./etw.) werden",,-gi,,,Am oko _cudu_.,,,
-din,affix,n xfik,TRUE,day,,-tago,día,Tag,,,,,Am oko _din_.,,,
-do,affix,t xfik,TRUE,_in an inactive state of_,,"_in neaktiva stato de_, -ita, -ite",_en estado inactivo de_,_in einem inaktiven Zustand befindend_,,,,,"Englisa (-ed), Espanisa (-ado, -ido)",,,
-doku,affix,n xfik,TRUE,document,,dokumento,documento,,,,,,Am oko _doku_.,,,
-dom,affix,n xfik,TRUE,"building, place, room, site (_with specific purpose_)",,"-ejo, loko, konstruaĵo, situo (_kun specifa celo_)","lugar, edificio, sitio (_con propósito específico_)","Gebäude, Ort, Stätte (_zu einem bestimmten Zweck_)",,,,,Am oko _dom_.,,,
-dukan,affix,n xfik,TRUE,store,,"-butiko, -vendejo",tienda,,,,,,Am oko _dukan_.,,,
-ente,affix,n xfik,TRUE,(inanimate) agent,,"(neviva) agento, -ilo",agente (_inanimado_),,,,,,Am oko _ente_. ,,,
-fil,affix,t xfik,TRUE,"inclined (to), prone (to), tending (to, towards)","inclined, inclined to, prone, prone to, tending, tending to, tending towards","-ema, -eme, inklina, inkline (al)","inclinado a, propenso a, tendiente a",,,,,,Am oko _fil_.,,,
-fobi,affix,n xfik,TRUE,phobia,,-fobio,fobia,Phobie,,,,,Am oko _fobi_.,,,
-fon,affix,n,TRUE,"-phone, sound tool",,,"-fono, herramienta para sonidos",,,,,,Am oko _fon_.,,,
-gi,affix,n/f.oj xfik,TRUE,"_causative, transitive marker_, make, cause to be",,"-igo, igi, _kaŭza, transitiva markilo_","_marcador causativo/transitivo_, volver, hacer ser","markiert transitive Verben_, machen, auslösen",,-cu,,,Am oko _gibe_.,,,
-gon,affix,n xfik,TRUE,-agon,,-angulo,-gono (_polígono_),,,,,,Am oko _gono_.,,,
-grafi,affix,n xfik,TRUE,recording ,,"registrado, registraĵo, rikordo","grabación, registro","Aufzeichnung, Darstellung",,,,,Am oko _grafi_.,,,
-hole,affix,n xfik,TRUE,"sheath, holder",,-ingo,"vaina, portador",,,,,,Am oko _hole_.,,,
-ible,affix,t xfik,TRUE,"-ible, -able",,-eble,"-ible, -able","_kurz für_ [be-](/eng/lexi/be-) _____ [-bil](/eng/lexi/-bil): -bar, -abel",,,,,"Englisa (-able, -ble), Espanisa (-able, -ible)",,,
-ina,affix,n xfik,TRUE,-ine,,"-eno, -ino (_hormonoj, ktp_)",-ina,,,,,,"Englisa (caffeine), Putunhwa (咖啡因 “kafeyyin”), Hindisa (कैफीन, कैफ़ीन “kefin”), Espanisa (cafeína), Arabisa (كَافِيِين “kafiyin”), Fransesa (caféine), Rusisa (кофеин “kofein”), Indonesisa (kafein), Doycisa (Coffein, Koffein), Niponsa (カフェイン “kafein”), Telugusa (కెఫిన్ “kefin”), Turkisa (kafein), Hangusa (카페인 “kapein”), Vyetnamsa (cafein, cà-phê-in), Parsisa (کافئین “kafein”), Swahilisa (kafeini), Pilipinasa (caffeine)",,,
-ismo,affix,n xfik,TRUE,-ism,,-ismo,-ismo,,,,,,"Englisa (-ism), Doycisa (-ismus), Fransesa (-isme), Espanisa (-ismo), Rusisa (-изм “-izm”), Parsisa (ـیسم- “-ism”), Turkisa (-izm), Indonesisa (-isme), Pilipinasa (-ismo), Niponsa (-イズム “-izumu”)",,,
-ista,affix,n xfik,TRUE,-ist,,-isto (_nur rilate al -ismo_),-ista,,,,,,"Englisa (-ist), Doycisa (-ist), Fransesa (-iste), Espanisa (-ista), Rusisa (-ист “-ist”, -истка “-istka”), Indonesisa (-is), Pilipinasa (-ista), Turkisa (-ist), Parsisa (یست- “-ist”)",,,
-itis,affix,n xfik,TRUE,inflammation,,"-inflamo, -ito",inflamación,,,,,,Am oko _itis_.,,,
-je,affix,n xfik,TRUE,"degree, level, measurement",,"grado, nivelo, mezuro","grado, nivel, medida",,,,,,Am oko _daraje_.,,,
-kal,affix,t xfik,TRUE,"without sufficient, -less",,"sen-, malplena, malplene","vacío, sin ...",,,-pul,,,Am oko _kal_.,,,
-kamer,affix,n xfik,TRUE,room,,"-ĉambro, -ejo","cuarto, habitación, cámara",,,,,,Am oko _kamer_.,,,
-kaxa,affix,n xfik,TRUE,"case, container",,-ujo,contenedor,,,,,,Am oko _kaxa_.,,,
-kef,affix,n xfik,TRUE,"chief, head, boss, lead",,-estro,"jefe, dirigente",,,,,,Am oko _kef_.,,,
-kolordo,affix,t xfik,TRUE,shade of color,,nuanco de kolor,tono de color,,,,,,Am oko _kolor_.,,,
-krasi,affix,n xfik,TRUE,(type of) government,,"(tipo de) registraro, -kratio",(tipo de) gobierno,,,,,,Am oko _krasi_.,,,
-kumax,affix,n xfik,TRUE,piece of cloth (_for specific purpose_),,tuko (_por specifa celo_),tela (_con propósito específico_),,,,,,Am oko _kumax_.,,,
-lari,affix,n xfik,TRUE,collective group,,-aro,grupo colectivo,,,-mon,,,Am oko _lari_.,,,
-laye,affix,t xfik,TRUE,worthy,,"-inda, -inde",digno,,,,,,Am oko _laye_.,,,
-lexi,affix,n xfik,TRUE,word,,vorto,palabra,,,,,,Am oko _lexi_. ,,,
-li,affix,t xfik,TRUE,"relating to, of",,"-a, de, rilate al","relacionado con, de",,,,,,"Fransesa (-el, -elle), Espanisa (-al), Englisa (-al, -ly), Doycisa (-lich), Rusisa (-ельный “-elni”, -альный “-alni”), Turkisa (-li)",,,
-logi,affix,n xfik,TRUE,"specialty, science (of), philosophy (of), study (of), art (of)","science of, philosophy of, study of, art of","-logio, fako, -scienco, filozofio, -studo, -arto","especialidad, ciencia de, filosofía de, estudio de, arte de",,,,,,Am oko _logi_.,,,
