Word,Category,WordClass,VerbTransitivity,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TransNote,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,See Also,TranslationFra,TranslationRus,TranslationZho
-abil,affix,t xfik,,TRUE,"which can (be), -able, -ible",,"-pova, -kapabla; -pove, -kapable","que puede, -il",,"fähig, in der Lage, -fähig, -tauglich",,,,,Am oko abil.,,,,
-bimar,affix,t xfik,,TRUE,sick,,-malsana,enfermo de,,,,,,,Am oko bimar.,,,,
-bisu,affix,xfik,,TRUE,"which must be, must-",,-enda; -ende,"que tiene que ser, que debe ser",,,,,,,Am oko bisu.,,,,
-bol,affix,b xfik,,TRUE,ball,,"-pilko, sfero","juego de pelota, -bol",,Ball,,,,,Am oko bol.,,,,
-cu,affix,b.nenoj xfik,,TRUE,"_intransitive verb marker_, become, get, turn (into)",,"-iĝo, -iĝi, _markilo de netransativa verbo_","hacerse (_marcador de verbo intransitivo_), volverse, tornarse; -se de manera (_marcador de verbo copulativo_)",gramati: inharelexi#xafefikso_-cu,"_markiert intransitive Verben_, (jmd./etw.) werden",,-gi,,,Am oko cudu.,,,,
-din,affix,b xfik,,TRUE,day,,-tago,día,,Tag,,,,,Am oko din.,,,,
-do,affix,t xfik,,TRUE,_in an inactive state of_,,"_in neaktiva stato de_, -ita, -ite","en estado inactivo de, -do, -to, -so, -cho",,_in einem inaktiven Zustand befindend_,,,,,"Englisa (-ed), Espanisa (-ado, -ido), Putunhwa (的 “de”)",,,,
-doku,affix,b xfik,,TRUE,document,,dokumento,documento,,,,,,,Am oko doku.,,,,
-dom,affix,b xfik,,TRUE,"building, place, room, site (_with specific purpose_)",,"-ejo, loko, konstruaĵo, situo (_kun specifa celo_)","-ero (_lugar_), -(er)ía, -dor, -ario",,"Gebäude, Ort, Stätte (_zu einem bestimmten Zweck_)",,,,,Am oko dom.,,,,
-dukan,affix,b xfik,,TRUE,store,,"-butiko, -vendejo","-era, -ería, -aria, tienda de",,,,,,,Am oko dukan.,,,,
-ente,affix,b xfik,,TRUE,(inanimate) agent,,"(neviva) agento, -ilo",agente (_inanimado_),,,,,,,Am oko ente. ,,,,
-fil,affix,t xfik,,TRUE,"inclined (to), prone (to), tending (to, towards)","inclined, inclined to, prone, prone to, tending, tending to, tending towards","-ema, -eme, inklina, inkline (al)","que le gusta, inclinado a, propenso a, tendiente a",,,,,,,Am oko fil.,,,,
-fobi,affix,b xfik,,TRUE,phobia,,-fobio,-fobia,,Phobie,,,,,Am oko fobi.,,,,
-fon,affix,b,,TRUE,"-phone, sound tool",,"-fono (_telefono, megafono, mikrofono, vibrafono_)",-fono (_dispositivo de sonido_),,,,,,,Am oko fon.,,,,
-gi,affix,b.oj xfik,,TRUE,"_causative, transitive marker_, make, cause to be",,"-igo; -igi, _kaŭza, transitiva markilo_","-izar (_marcador causativo o transitivo_), -ificar, hacer, volver, tornar",,"markiert transitive Verben_, machen, auslösen",,-cu,,,Am oko gibe.,,,,
-gimu,affix,xfik,,TRUE,"which should be, which ought to be",,"kiu devus esti, kiu estu",que debería ser,,,,,,,Am oko gimu.,,,,
-gon,affix,b xfik,,TRUE,-agon,,-angulo,-gono (_polígono_),,,,,,,Am oko gona.,,,,
-grafi,affix,b xfik,,TRUE,recording ,,"registrado, registraĵo, rikordo","-grafía, -grama, grabación, registro",,"Aufzeichnung, Darstellung",,,,,Am oko grafi.,,,,
-hole,affix,b xfik,,TRUE,"sheath, holder",,-ingo,porta-,,,,,,,Am oko hole.,,,,
-ible,affix,t xfik,,TRUE,"which can be, -ible, -able",,-eble,"que puede ser, -ible, -able, apto para",,,,,,,Am oko ible.,,,,
