code,Delete?,glb,eng,epo,deu,fra,rus,spa,zho,nld,fry,por
Original Codes,FALSE,,,,,,,,,,,
App Name,FALSE,,Globasa Dictionary,Globasa Vortaro,,Dictionnaire globasa,,Diccionario de Globasa,,Globasa-woordenboek,Globasa-wurdboek,Dicionário de Globasa
Missing Interface Text Translation,FALSE,,[Missing Translation],[Teksto ankoraŭ ne tradukita],,[Texte encore non traduit],,[Texto aún sin traducir],,[Ontbrekende vertaling],[Untbrekkende oersetting],[Texto sem tradução]
Missing Word Translation,FALSE,,<em>Missing Dictionary Translation</em>,<em>Vorto ankoraŭ ne tradukita</em>,,<em>Mot encore non traduit</em>,,<em>Palabra aún sin traducir</em>,,[Ontbrekende woordenboekvertaling],[Untbrekkende wurdboekoersetting],<em>Palavra sem tradução</em>
Search Placeholder,TRUE,,Search word in English or Globasa,Serĉu vorton en Esperanto aŭ Globasa,,Rechercher un mot en français ou en globasa,,Buscar palabra en español o Globasa ,,Een woord zoeken in het Nederlands of Globasa,In wurd sykje yn it Frysk of Globasa,Buscar palavra em português ou em Globasa
Entry for,TRUE,,Entry for ‘%1$s’:,Ero por ‘%1$s’:,,Entrée pour ‘%1$s’ :,,Entrada para ‘%1$s’:,,Resultaat voor ‘%1$s’:,Resultaat foar ‘%1$s’:,Verbete para '%1$s':
Entries for,TRUE,,Entries for ‘%1$s’:,Eroj por ‘%1$s’:,,Entrées pour ‘%1$s’ :,,Entradas para ‘%1$s’:,,Resultaten voor ‘%1$s’:,Resultaten foar ‘%1$s’:,Verbetes para '%1$s':
"Side Bar, Menu, Footer",FALSE,,,,,,,,,,,
search natlang placeholder,FALSE,,English Search,Esperanto-lingva serĉo,,Recherche en français,,Búsqueda en español,,Zoeken in het Nederlands,Sykje yn it Frysk,
search worldlang placeholder,FALSE,,Globasa Search,Globasa-lingva serĉo,,Recherche en globasa,,Búsqueda en Globasa,,Zoeken in het Globasa,Sykje yn it Globasa,
search button,FALSE,,Search,Serĉi,,Rechercher,,Buscar,,Zoeken,Sykje,
word classes link,FALSE,,Word Classes,Vortospecoj,,Natures des mots,,Clases de palabras,,,,
random word button,FALSE,,Random Word,Hazarda vorto,,Mot au hasard,,Palabra al azar,,Willekeurig woord,Willekeurich wurd,
all words button,FALSE,Lexili listalari,Vocabulary Lists,Vortlistoj,,Listes de vocabulaire,,Listas de vocabulario,,Woordenlijsten,Wurdlisten,
tools button,FALSE,Tul,Admin Tools,Estraraj Iloj,,Outils d’administration,,Herramientas administrativas,,,,
language button,FALSE,,Language,Lingvo,,Langue,,Idioma,,Taal,Taal,
more button,FALSE,,More,Pli,,Plus,,Más,,Meer,Mear,
globasa link,FALSE,,Globasa,Globasa,,Globasa,,Globasa,,Globasa,Globasa,
github link,FALSE,,GitHub,GitHub,,GitHub,,GitHub,,GitHub,GitHub,
report link,FALSE,,Report problems,Atentigi pri problemo,,Signaler un problème,,Reportar problemas,,,,
api link,FALSE,,API,API,,API,,API,,API,API,
Entry view,FALSE,,,,,,,,,,,
Also See List,TRUE,,See also:,Vidu ankaŭ:,,Voir aussi :,,Véase también:,,Zie ook:,Sjoch ek:,Veja também:
