Word,Category,WordClass,TranslationEng,TranslationEpo,TranslationSpa,Tags,SearchTermsEng,TransNote,LexiliAsel,Hyphenation,Synonyms,Antonyms,slug_mod,OfficialWord,TranslationDeu,TranslationFra,TranslationRus,TranslationZho,TranslationHin,TranslationAra,Etymological support,
ababil,root,b,"n: swallow (_bird_), martin, _Hirundinidae_",s: hirundo,"s: golondrina, avión",piu,,,"Hindi (अबाबील “ababil”), Parsisa (ابابیل “abâbil”)",,,,,FALSE,S: Schwalbe,n: hirondelle,сущ: ласточка,名: 燕子,सं: अबाबील,اسم: سُنُونُو، خُطَّاف,,
abakus,root,b,n: abacus,s: abako,s: ábaco,"tul, matemati",,,"Englisa (abacus), Espanisa (abaco), Fransesa (abaque), Rusisa (абак “abak”), Doycisa (Abakus), Indonesisa (abakus), Pilipinasa (abako), Telugusa (అబాకస్ “abakas”), Turkisa (abaküs)",,,,,TRUE,"S: Abakus, Rechenbrett","n: abaque, boulier",сущ: счёты,名: 算盘,"सं: अबेकस, गिनतारा",اسم: مِعْدَاد,,
abces,root,b,"n: abscess, boil",s: absceso,s: absceso,medis,,,"Englisa (abscess), Espanisa (absceso), Fransesa (abcès), Rusisa (абсцесс “abstsess”), Doycisa (Abszess), Portugalsa (abscesso), Italisa (ascesso), Indonesisa (abses), Pilipinasa (abseso), Parsisa (بسه “âbse”), Turkisa (apse), Vyetnamsa (áp-xe)",,,,,FALSE,"S: Abszess, Furunkel","n: abcès, furoncle","сущ: абсцесс, нарыв","名: 脓肿, 疖子",सं: फोड़ा,اسم: خُرَاج، دُمَّل,,
abilya,derived,b,"n: ability, capacity, capability","s: povo, kapablo","s: capacidad, habilidad",,,,abil + -ya,,,,,TRUE,"S: Fähigkeit, Vermögen","n: capacité, aptitude",сущ: способность,"名: 能力, 才能","सं: क्षमता, योग्यता, सामर्थ्य",اسم: قُدْرَة، مَقْدِرَة,,
aboneyen,derived,b,n: subscriber,s: abonanto,s: suscriptor,,,,abone + -yen,,,,,TRUE,S: Abonnent,n: abonné,сущ: подписчик,"名: 订阅者, 订户","सं: ग्राहक, सदस्य",اسم: مُشْتَرِك,,
abrutoya,derived,b,"n: suddenness, abruptness","s: subiteco, abrupteco",s: brusquedad,,,,abruto + -ya,,,,,TRUE,"S: Plötzlichkeit, Abruptheit","n: soudaineté, brusquerie","сущ: внезапность, резкость","名: 突然性, 突兀","सं: आकस्मिकता, अचानकपन",اسم: فُجَائِيَّة، مُبَاغَتَة,,
absurdoxey,derived,b,n: absurdity (_countable_),s: absurdaĵo,s: disparate,,,,absurdo + -xey,,,,,FALSE,S: Absurdität (_zählbar_),n: absurdité (_dénombrable_),сущ: нелепость,"名: 荒谬事, 荒唐事","सं: बेतुकी बात, बेहूदा बात",اسم: سَخَافَة، حَمَاقَة,,
absurdoya,derived,b,n: absurdity (_uncountable_),s: absurdeco,s: absurdidad,,,,absurdo + -ya,,,,,FALSE,S: Absurdität (_nicht zählbar_),n: absurdité (_indénombrable_),"сущ: абсурдность, абсурд","名: 荒谬, 荒唐","सं: बेतुकापन, बेहूदगी",اسم: سَخَف، عَبَث,,
acidihamir,derived,b,n: sourdough,s: acida pasto,s: masa madre,kokiarte,,,acidi + hamir,,,,,FALSE,S: Sauerteig,n: levain,сущ: закваска,名: 酸面团,सं: खट्टा आटा,اسم: خَمِيرَة حَامِضَة، عَجِين مُخْتَمِر,"Turkisa (ekşi hamur), Englisa (sourdough), Doycisa (Sauerteig)",
acidije,derived,b,n (degree): acidity,s (grado): acideco,s (grado): acidez,,,,acidi + -je,,,,,FALSE,S (Grad): Säuregrad,n (degré): acidité,сущ (степень): кислотность,名: 酸度,सं: अम्लता,اسم (دَرَجَة): حُمُوضَة,,
acidiroti,derived,b,n: sourdough (bread),s: acida pano,s: pan de masa madre,yamxey,,,acidi + roti,,,,,FALSE,S: Sauerteigbrot,n: pain au levain,сущ: хлеб на закваске,名: 酸面包,सं: खट्टी ब्रेड,اسم: خُبْز مُخْتَمِر,"Parsisa (نان خمیر ترش), Indonesisa (roti asam)",
acidiya,derived,b,"n (state/quality): acidity, acidness, sourness",s (stato/kvalito): acideco,s (estado/cualidad): acidez,,,,acidi + -ya,,,,,FALSE,"S (Zustand/Eigenschaft): Säuerlichkeit, Sauerkeit",n (état/qualité): acidité,"сущ (состояние): кислотность, кислость","名: 酸性, 酸味","सं: अम्लता, खट्टापन",اسم (صِفَة): حُمُوضَة,,
adasi,root,b,n: lentil,s: lento,s: lenteja,palobija,,,"Arabisa (عَدَس “adas”), Parsisa (عدس “adas”), Swahilisa (adesi)",,,,,TRUE,S: Linse,n: lentille,сущ: чечевица,"名: 小扁豆, 扁豆","सं: मसूर, दाल",اسم: عَدَس,,
adasisupa,derived,b,n: lentil soup,"s: lenta supo, lentosupo",s: sopa de lentejas,yamxey,,,adasi + supa,,,,,FALSE,S: Linsensuppe,n: soupe aux lentilles,сущ: чечевичный суп,"名: 小扁豆汤, 扁豆汤",सं: मसूर की दाल,اسم: شُورَبَة العَدَس، حَسَاء العَدَس,,
adatexey,derived,b,n: adaptation (_countable_),s: adaptaĵo,s: adaptación,,,,adate + -xey,,,,,FALSE,"S: Adaption, Adaptation",n: adaptation (_dénombrable_),сущ: адаптация,"名: 改编作品, 改编版",सं: रूपांतरण,اسم: اِقْتِبَاس,,
adebu,root,b,"n: politeness, courtesy",s: ĝentileco,"s: cortesía, amabilidad",,,,"Arabisa (أدب “adab”), Parsisa (ادب “adab”), Indonesisa (keadaban, beradab), Turkisa (edep)",,,nenadebu,,TRUE,"S: Höflichkeit, Zuvorkommenheit","n: politesse, courtoisie","сущ: вежливость, учтивость","名: 礼貌, 礼节","सं: शिष्टाचार, विनम्रता",اسم: أَدَب، لَبَاقَة,,
adebukalya,derived,b,"n: impoliteness, rudeness",s: malĝentileco,"s: descortesía, grosería",,,,adebu + -kal + -ya,,nenadebu,,,FALSE,"S: Unhöflichkeit, Grobheit, Ungezogenheit","n: impolitesse, grossièreté","сущ: невежливость, грубость","名: 无礼, 粗鲁","सं: अशिष्टता, बदतमीज़ी",اسم: قِلَّة أَدَب، فَظَاظَة، وَقَاحَة,,
adhesiente,derived,b,n: adhesive,"s: gluo, gluaĵo, adherigaĵo","s: adhesivo, pegamento",ente,,,adhesi + ente,,,,,FALSE,"S: Klebstoff, Kleber","n: adhésif, colle",сущ: клей,"名: 粘合剂, 胶水",सं: गोंद,اسم: مَادَّة لَاصِقَة، غِرَاء,,
adilya,derived,b,"n: fairness, justice",s: justeco,s: justicia,,,,adil + -ya,,,"posadilya, nenadilya",,TRUE,"S: Gerechtigkeit, Fairness","n: équité, justice",сущ: справедливость,"名: 公平, 公正","सं: न्याय, इंसाफ़",اسم: عَدَالَة، إِنْصَاف,,
admiral,root,b,n: admiral,s: admiralo,s: almirante,"person, navi",,,"Englisa (admiral), Espanisa (almirante), Fransesa (amiral), Rusisa (адмирал “admiral”), Doycisa (Admiral), Pilipinasa (almirante), Hindi (ऐडमिरल “edmiral”), Arabisa (أَمِيرُ البَحْر “amiru l-bahr”, أَدْمِيرَال “admiral”), Telugusa (అడ్మిరల్ “admiral”), Turkisa (oramiral), Swahilisa (admirali)",,,,,TRUE,S: Admiral,n: amiral,сущ: адмирал,名: 海军上将,सं: एडमिरल,اسم: أَمِير البَحْر، أَدْمِيرَال,,
admiralya,derived,b,n: admiralty,s: admiraleco,s: almirantazgo,,,,admiral + -ya,,,,,FALSE,"S: Admiralität, Admiralsrang",n: amirauté,сущ: адмиральство,名: 海军上将之职,सं: एडमिरल का पद,اسم: رُتْبَة أَمِير البَحْر,,
adola,root,b,n: muscle,s: muskolo,s: músculo,jismulogi,,,"Arabisa (عضلة “adala”), Parsisa (عضله “azole”), Turkisa (adale)",,,,,TRUE,S: Muskel,n: muscle,"сущ: мышца, мускул",名: 肌肉,"सं: मांसपेशी, पेशी",اسم: عَضَلَة,,
adolabalaya,derived,b,n: brawn,"s: muskoleco, fortikeco","s: musculatura, fortaleza",,,,adola + bala + -ya,,adolapulya,,,FALSE,"S: Muskelkraft, Muskulosität","n: musculature, force physique","сущ: мускулистость, физическая сила","名: 肌力, 体力","सं: बलिष्ठता, मांसलता",اسم: قُوَّة عَضَلِيَّة، فُتُوَّة,,
adolaitis,derived,b,n: myositis,s: miozito,s: miositis,,,,adola + itis,,,,,FALSE,S: Myositis,n: myosite,сущ: миозит,名: 肌炎,"सं: मांसपेशी शोथ, मायोसाइटिस",اسم: اِلْتِهَاب العَضَل,,
adolapulya,derived,b,"n: brawn, muscled","s: muskoleco, fortikeco","s: musculatura, fortaleza",,,,adola + -pul + -ya,,adolabalaya,,,FALSE,"S: Muskelkraft, Muskulosität","n: musculature, force physique","сущ: мускулистость, физическая сила","名: 肌力, 体力","सं: बलिष्ठता, मांसलता",اسم: قُوَّة عَضَلِيَّة، فُتُوَّة,,
adopsibyuro,derived,b,n: adoption agency,s: adoptejo,s: agencia de adopción,,,,adopsi + byuro,,,,,FALSE,"S: Adoptionsstelle, Adoptionsagentur",n: agence d'adoption,сущ: агентство по усыновлению,"名: 收养机构, 领养机构",सं: गोद लेने की एजेंसी,اسم: وَكَالَة تَبَنٍّ,,
