Word	Category	WordClass	TranslationEng	TranslationEpo	Do not remove (Proofreading)	Tags	SearchTermsEng	TransNote	LexiliAsel	Hyphenation	Synonyms	Antonyms	slug_mod	OfficialWord	TranslationSpa	TranslationDeu	TranslationFra	TranslationRus	TranslationZho	TranslationHin	TranslationAra	Etymological support	
ababil	root	b	n: swallow (_bird_), martin, _Hirundinidae_	s: hirundo		piu			Hindi (अबाबील “ababil”), Parsisa (ابابیل “abâbil”)					FALSE	s: golondrina	Schwalbe	n: hirondelle	ласточка, Ласточковые	名: 燕子	सं: अबाबील	اسم: سُنُونُو، خُطَّاف		
abakus	root	b	n: abacus	s: abako		tul, matemati			Englisa (abacus), Espanisa (abaco), Fransesa (abaque), Rusisa (абак “abak”), Doycisa (Abakus), Indonesisa (abakus), Pilipinasa (abako), Telugusa (అబాకస్ “abakas”), Turkisa (abaküs)					TRUE	s: ábaco	Abakus, Rechenbrett	n: abaque, boulier	абак	名: 算盘	सं: अबेकस, गिनतारा	اسم: مِعْدَاد		
abces	root	b	n: abscess, boil	s: absceso		medis			Englisa (abscess), Espanisa (absceso), Fransesa (abcès), Rusisa (абсцесс “abstsess”), Doycisa (Abszess), Portugalsa (abscesso), Italisa (ascesso), Indonesisa (abses), Pilipinasa (abseso), Parsisa (بسه “âbse”), Turkisa (apse), Vyetnamsa (áp-xe)					FALSE	s: absceso	Abszess	n: abcès, furoncle	абсцесс	名: 脓肿, 疖子	सं: फोड़ा	اسم: خُرَاج، دُمَّل		
abilya	derived	b	n: ability, capacity, capability	s: povo, kapablo					abil + -ya					TRUE	s: capacidad, habilidad		n: capacité, aptitude		名: 能力, 才能	सं: क्षमता, योग्यता, सामर्थ्य	اسم: قُدْرَة، مَقْدِرَة		
aboneyen	derived	b	n: subscriber	s: abonanto					abone + -yen					TRUE	s: suscriptor		n: abonné	подписчик, подписчица, абонент, абонентка	名: 订阅者, 订户	सं: ग्राहक, सदस्य	اسم: مُشْتَرِك		
abrutoya	derived	b	n: suddenness, abruptness	s: subiteco, abrupteco					abruto + -ya					TRUE	s: brusquedad	Plötzlichkeit, Abruptheit	n: soudaineté, brusquerie		名: 突然性, 突兀	सं: आकस्मिकता, अचानकपन	اسم: فُجَائِيَّة، مُبَاغَتَة		
absurdoxey	derived	b	n: absurdity (_countable_)	s: absurdaĵo					absurdo + -xey					FALSE	s: disparate		n: absurdité (_dénombrable_)		名: 荒谬事, 荒唐事	सं: बेतुकी बात, बेहूदा बात	اسم: سَخَافَة، حَمَاقَة		
absurdoya	derived	b	n: absurdity (_uncountable_)	s: absurdeco					absurdo + -ya					FALSE	s: absurdidad		n: absurdité (_indénombrable_)		名: 荒谬, 荒唐	सं: बेतुकापन, बेहूदगी	اسم: سَخَف، عَبَث		
acidihamir	derived	b	n: sourdough	s: acida pasto		kokiarte			acidi + hamir					FALSE	s: masa madre	Sauerteig	n: levain		名: 酸面团	सं: खट्टा आटा	اسم: خَمِيرَة حَامِضَة، عَجِين مُخْتَمِر	Turkisa (ekşi hamur), Englisa (sourdough), Doycisa (Sauerteig)	
acidije	derived	b	n (degree): acidity	s (grado): acideco					acidi + -je					FALSE	s (grado): acidez		n (degré): acidité		名: 酸度	सं: अम्लता	اسم (دَرَجَة): حُمُوضَة		
